01a1f732,"62516cb3, a632979c, fdb19995, 91125626, bfbfe663, 5351f29b, 4c45e3b1, c5e9dd5c, d8aefd20, 9b3f704c, a445092b, 887baf86, 25ded081, 9b41fe59, bf2ede01, 7a71320e, e1c8481b, 5b4a689f, 7889e29b, 1f9a6dd5, 5c5af8a7, f06ca864, dc45f013, 1ca851f1, 8d7acdde, 42e2873b, 2aa52841, 5d653805, 375e084e, 7c58be4f, daff27e2, 77844953, f3065acf, 1a011ad3, b3307ce1, f4ec255d, d3992f4d, 24182e3c, 122c25e6, faa025d1, cdb9121a, 32d92c29, 8dc30708, 0e6e1b86, f1436c11, c8303b0a, e8ad1382, 250e105d, b122d207, 57b2df5b, 67ef4cda, b4aa46b6, 8aa674fb, b38b89b8, ca0f4c52, 5a6b5343, 3e2118d2, 150541d7, 4639ca94, 8f59fce1, 18fdab6c, 68fdde3b, e783dc7d",10000
003e30af,"d4c27ee4, bdaa48a5, 8848751b, 73d82497, a99a0be1, e2370476, e0b0b04f, a6f3e716, 67b69709, 55018d2f, c15154a9, e6488827, 45bfdbc7, e4f5ddd0, b11034e7, ee659182, a4c68495, cc6f03ae, fc35c8cf, 1a767d1b, eb98ad65, 6ecd06ba, 360607e4, 6f01615e, 1a5d7d45, ac15d558, fc507bfd, 6b33fa8f, 47f9f30d, 07ccb24e, 14fb3fc1, 38690950, 98d14ba3, 042edd52, 5ba8ff8c, 638e01a9, 0c4b1cb3, 0813ac2b, 963a6f64, 560eaaa0, d1841534, ba2adb65, 83e2e5b6, 4d70b6ab, 05592fe8, a960136f, c93f7f37, 865e5348, 98cc1c06, 1620bda7, a1305cbb, 462acfd0, 569d5911, d8324d99, 9376fa64, f8951054, 8f59fce1, 519570ef, f78f5677, 7741b5d6, edd97adf, b9b726a7, c6ee9d5e, 42784f65, 3adbff34, 9bb3b9e6, d999280c, 1bd9a7d2, 5663115d, 2f636aa6, a75d8883, 16a5b145, 4911dd98, 747d1613, 7bb2e0a1, c83021a8",10000
01e81dc5,"95166b7b, 306aa40e, 20cb7c1d, b0ae73b0, 93a1c5e3, 7c8691f8, 7834f378, 84561763, a90ff40b, b51c4b03, 39774a7d, df4cf35a, e4e9fad1, 12ca33d8, d054373a, 1cb2a08b, 2febbc2e, fbb812e0, fc35c8cf, 828e4719, 08d78a19, fda6543d, 26f440e1, 5a3c5b2b, 60961b73, b945bd14, 862c0fa5, bbc121a9, 47f9f30d, a211d82f, 2f636aa6, bcc316b0, ec787112, 7c928a52, ec1fdf70, d5d810fc, fce53422, d1841534, 2c59d11d, 24ad0b08, b012cd00, 4451adb5, fc51ee46, 5b492c9c, f78f5677, aeca589d, a8645559, 5f6c504d, 49b07bc2, d90422c3, 9f17f0ae, 4c108de3, f4b1a7cb, 9376fa64, 343ba784, 59bd061e, 350a65ca, b02379e6, aeb87eb8, c30a45a5, 1b0d7c27, 69fa92a5, 5b68b59f, 018f16fa, 9bb3b9e6, bd4dc279, 2dbbb634, 3a8c0933, f206cc33, 00da43f5, 2a723cd4, 7f3c5262, 3ef52c34, 3b46a836, a1305cbb, 373645ec, 8f59fce1, 77c5147d, 48428a64, 62dbfa78, 7aa732ad, 6c1694c5",10000
013f5987,"b2cb17cd, 542b8c9a, 308aca81, a0d5556f, 0577060c, 65ca13b5, 73704373, 31b47d25, b9070290, 38eaec2b, ae17981b, dfc7b5e9, 7e08a5f0, 8d23877c, f50ce476, 61cee79e, e68d67cb, c0138e38, 0fbf75d6, ae9334bb, 9aa71268, af5ca846, a834a312, b72ee27e, 6f9f6ee9, e4814d2d, 946f3803, 205e45da, b26039ed, 422c3c90, bfd54ca0, 850e6163, 692fe163, 0e495b37, 38a77a94, e3343639, a5ec2873, 45cffb9f, 03e5b286, df4206d7, 1dc40050, 20834f78, 4c6da345, 8fe7cc19, dadb5b61, 8e67a61c, 084d6363, 4b4c9f2d, c3c57670, 3e443819, 775c788f, 6bc6401f, 3fc27209, bb6b70e4, 81722af4, 38d91aa5, 7258172f, a546c33f, c7e1c838, 8f59fce1, c40bd6c6, f2d34df5",10000
0135490a,"3ac423c4, 0d7d8be6, 151de2d4, 2c1f9575, f3c6234c, 5470295b, f6a1c89f, 4e66c54c, 525896df, 0d4d779a, d8880c19, 5df05cdc, c7efc274, c6200a05, 89170e42, 36628166, b45d51e7, d61a506a, f12c384b, bccca9ee, 8d4070af, 062e8fcd, aa41bdca, 2176d997, bb55a7cc, 607ba6e6, 77605d87, 8d1ccbb9, 51f72aac, 26738684, c53709ac, 40065d32, 9857b8bd, cc2b1ded, 7cdbc549, f8ffe198, 0df3f2e5, abdb80f5, d45d2176, 787a0ea3, a847707a, 0b122fcb, 28377690, 805e72ba, ce9f97bd, 984dcf52, 8f59fce1, de6e730d, 49d41306, f3d22aa8, a1788820",10000
029111f6,"ca6fc78f, ca475800, 2759d26b, 4e1035c5, e6eb24db, 191fa9a8, 4a053077, edc3e6ed, 9ab0c4e9, a658d714, 96dc8d6a, d3a7e2cd, 3d2ecc20, 4141bfaa, c9632f8d, 820a6a2b, e81da455, 9a838fb6, 1935fa2c, 81a319ef, d5c46cab, e0818e01, c3371e7a, c33b748d, 3cf48347, 5f34409d, aec657dd, d67ddbc9, 8e5519c3, 6c48faa2, 9373a008, e8169e71, b9c9e790, 2406c9a9, 5a9cd450, bc8d1c84, 13e22283, 114af0bd, 60d0c939, f1983c95, b3dd42a2, 606a9a25, 0575595b, ba742526, 707b1a16, a6390327, eef4e259, 454b8f53, bc63a593, bebfb12d, 0733a578, 10615f52, f8057491, b3d7431e, d9ff49c9, 62928e91, 98479d2e, 1ccc2db8, 9afbd3da, e8d88db0, 2d3f14bc, ad7a1d9c, e18c964d, 86b430eb, d41f1c0b, c8ac4919, e5c6a399, 8f59fce1, bfb21411, e96b90ae, 97758fbc, e74c03b3, 8e409169, 8d62baac, 0d156dd5, ea34a865, 3641e54b, f9bd9814, 2bb7bbef, fe10cdb2, c57b09a1, f2062754, 84e39928, 33bf5783, 988bb493, d41a6163, 4895ae96, 18666c58, b84d9d27, 64d1f6db, a9bd38b2, 5417e7cb, afcddab2, c7fa1440, b8f0e663, 537866e6, bd42194c, 8cf9837c, 7b1e69d1, 482114e1, 6ef9f84f, 00daf170, f8368727, ccb0070a, 0cb0278e, 37fb27bb, 43f07252, c6b6abd2, 6cc4a0b5, 7f377fc7, 68c71a44, b0c5e5cc, c950747e, 37ec5621, ac64dfa5, 52adab5a, 292bf909, 84232163, 16bc2274, 84385bc1, 79476dbb, bb8a660f, fcee6a8a, 1ef76715, 895907d5, 00475255, 45ed3b4e, e9f18f1e, c0e0ddfe, 65c0368d, 83403c6a, fb50d9f9, ca61851b, d45adc3e, 964592f9, aa9433c4, 7f38ffae, 436f2b65, 54c29191, 24653089, ced6528e, 2a00faca, a34d4512, e7989062, 9befd87e",10000
04658df3,"cbf5c151, 7c298424, 49993bb6, 26f19d36, c6db1553, a9580d1c, 87a5fa16, fd09e1d2, 45f94d0f, e3a7a35a, 5029f18f, 720ff581, 0ea766ab, a279da69, d3f30a79, d9e17cb0, f3c8cf52, da10d936, 6b726f29, 1332952e, 7e9140fc, c6a84100, 5d025288, 7741a4bd, b8b6f019, 4994b379, 2c1f1eab, 64e4030b, 9696f128, 9591420a, 721a7b39, 75d84be0, ce23de93, bbd1d387, 5f3511b2, 3d160f32, 4c252989, 40e0e0b8, 416b0f85, d217aa86, d940dcfa, 57445ac3, dd154068, 6779b14c, 9bdb419c, 9daa6802, aaa787d6, c5500d02, 08354f06, b7ea6554, 527d64f2, 12e934a3, 47f83f32, c759d8a4, 8895d01a, b5bea8d3, 1e6a7435, 7acac637, db5cf746, 09a4bb25, 3391fd04, b5ad0e98, a2e38bf4, 4e10cdb4, 161c18a6, c0906b91, 02154d22, e0f6b300, ecfce373, 23b52f24, 5f9bdc98, d81df7a5, 3d18f985, 32aa257d, 8f59fce1, 8cdb4d6c, 67acd7be, 84030607, 13131a39",10000
0292368e,"83f6e9b7, efecfb9a, d1600549, c8c88454, 472735c4, 48aece78, 6c3e8cbf, 3896ddcd, 583ed43a, 5293210a, bfa927c0, 20807f68, 5bff9f78, cd91e212, 354ce309, cdfcc4b2, 37df21b1, c66a6672, 713b5d37, fcd322b9, 82e082b4, 02ad9ed2, 29ba0b5d, 7aad3a51, b1e7946a, e6bb645e, 6a24fc5d, cb50f835, c6792e93, 05a74f02, 78419685, 3b1b2d7d, 0ac21e8f, 7207577d, eceeea42, ebd19277, 44eae187, 7f0343f5, 88f0abfe, b6da29f3, e99fca74, 3c08872a, d37adabc, 5d0e4559, 9fb961f4, 1a862cc3, 7608c7a4, cf5ce6d4, febd6eed, b8aa3338, b50db903, 799045ca, c1fcb6d5, 4dff2759, 1355bf1d, 0793ca9a, c0d47d23, 830e0d00, dcc9eb34, d55587a9, 0ef0fd51, 0336434a, 6404de93, 66a1498d, f2508e54, 2f9e306b, 42828bf2, 15ecb261, f0fbe3f0, 7f23dfd3, 75a9f609, 273df0ce, 45a3e44d, d54edd68, 44b3ff0a, 7f4dbb9f, 906b5b29, 8f59fce1, fec08eca, 4de20526, 2a1c83af, 51256360, e41175ce, 30e13a68, 9ee1a66c, ba001f97, 25fd3a21, 3e543543, 203d8461, 83d318ac, 9a4e7059, 31157de8, 94c2136e, 2f41a0e0, ed075234, 861ff386, d9ce33bc, 9c4a584e, 1c4bd2c0, bdd65c32, c8d1a181, f24ec567, b93490a0, 593feb27, 3baed722, 0b169238, 43fc5157, 454d7380, 3a370682, 1a97a507, e0c19e53, f09d519f, 1c4231b3, 83cf115d, cfb2e524, 6278a289, 9298d223, 426465d9, b837ca2b, 0afb2d82, d2334dea, ec20bc87, 8a6471aa, 0783e04c, 12595a3a, f23388d1, cee64f3c, b4c3ac40, 4793cd20, 3375dde1, 8d835207, 186548b2, 4d9d3df0, 82e98958, bab4130d, 4e9aa32d, 0dfc2501, d5f1d8cc, bf25c7c3, 67ad3255, d5398348, 10c49a41, 178c517c, 987f5bfd, ac530d59, e021eb17, 5bbd4bcf, 1e1a73cc, 0b0a3fcd, 3c9b2d5d, 380967d3, 291babf5, 73391b12, 8b50a34c, 1057c80c, 6b48ae64, afb10f62, 9fdafd10, 437a0c86, f0ed9385, 078f8a54, 6f7fa11b, 970bd7b6, 33ff5b4f, c497db5a, 2964d38f, b52c85a6, 05dbaf9e",10000
00347e65,"fdd0332e, cdd8df26, 0c57eb5f, f600ce50, f2b509d0, f2f45180, 06d57774, df743ce9, bc31e94a, 1904d5a5, 236569d1, b2856fe2, 6519ed71, 9882e733, 51d5f766, 5e125024, b7a30eba, 28c75591, 70a81f7a, 9c6c694b, 8f3d24e7, 1e05daf9, 3e2bbb6a, 9d0ccb16, 251ce56a, d49e2ccf, 7983ba6f, fa2fb161, 20256e17, 4583dcc4, 33cae85e, e51d79c1, efedba76, 332d17ed, 260a7f23, e7b5b608, 04cf2d2a, 69e2f785, 0b0cf5ad, 99bbc846, ac021bdc, 24535645, c4320dfe, a5afbbb9, 9e970e2e, f4eb5a83, e9db45d7, 1d434e3d, af660777, 778d6e25, b60f568f, 85f81612, 77a202ae, 72ad161c, 837f7920, 01042d10, fae4180d, f37e4d79, a2170c86, 8a849fbc, 8f59fce1, 4230e765, ab65065b, 19cfeb97, 2b9db09c",10000
010b4907,"8a584515, aa2f880f, 73c62118, 92a053c8, 69ea7e72, e4ad7b70, 26fb0bcd, 1c36f1d6, 4ab0e6f7, 0b0585f9, a8504281, eb65fd04, 75063c8f, de72b100, b1a5f743, 69120f81, 83cf4476, 8be2e7c8, ac59e677, f8e07e56, c3a3ce71, bb8135a4, 7fcc1104, 626cf741, 279e3f63, 5c0a7058, 880865c5, 02c10c73, f75f77b9, 626d37b3, d3a4ce4f, 04e6be66, fd4a0a4d, 64c623a2, d4eeefdc, 3df8c87c, b2577d86, 59b53548, ca4ff9d5, 723d327c, 110c1034, e8079093, a8cfb02d, f2d76d09, 3642fe99, 0795b048, a6257548, e5b28841, 3de5fa8a, 16ca8e7b, 7eb14467, 8f59fce1, a8a4cb2c, 343984b7, 4d8b7e6e, 809d9bfd, d69082be, 9f72a413, 93d07e79, 21227237, 548f0d8c, 6e876b4f, 3a8f0fd1, 04560bf3, 7b07893c, 28800fc2, 6d09f57c, d99d797e, a06016b3, ca05fc49, df2b9bae, 786fb672, 929827aa, 92009c8c, d0189030, e01680bd, 9d924e29, 763cd68b, efcc5dbe, d9b8d0f2, 83107da1, b6fa762d, 9dc86c51, 1f567e8a, 08deca13, 6c97acf8, 92f4c020, ac966a8c, 5629f92a, a910bc4c, 7f0aa416, 80e108e5, 92f77520, dca5ce4d, cef495b3, 3c7ce0d7, 1984d75a, eadbba7b, e758827c, 36d92ab3, 73d82271, cf5142d1, 4f8195f4, 34f68876, 56fcb7ae, be40ddfd, c7050edf, c1b18700, 6b0cf6c6, a736c259, 7b82c84d",10000
