747,3389355742297;
752,2727272727273;
750,561797752809;
744,6927374301677;
742,2222222222222;
739,6739130434783;
735,0877192982456;
746,218487394958;
722,8985507246376;
738,8888888888889;
734,2939481268012;
735,4107648725212;
740,0;
728,0;
753,2394366197183;
740,8450704225352;
748,5714285714286;
750,8670520231213;
749,7076023391813;
748,8636363636364;
755,5555555555555;
736,0;
736,046511627907;
736,046511627907;
750,7507507507507;
751,497005988024;
745,0867052023121;
730,6818181818181;
738,5057471264367;
726,0744985673352;
733,3333333333334;
733,3333333333334;
730,3116147308782;
726,0744985673352;
737,4301675977654;
740,1662049861496;
738,7387387387388;
737,6044568245126;
738,0281690140845;
737,7142857142857;
737,7142857142857;
737,4301675977654;
742,7728613569321;
745,1977401129943;
743,0985915492957;
739,080459770115;
743,5435435435436;
729,3768545994066;
748,0825958702065;
745,4545454545455;
744,2815249266862;
745,1977401129943;
739,3258426966293;
738,0116959064327;
740,7624633431085;
735,2112676056338;
742,3728813559322;
735,243553008596;
748,5380116959064;
735,243553008596;
739,306358381503;
742,6136363636364;
740,4761904761905;
753,2934131736527;
739,1061452513967;
741,3793103448276;
731,566265060241;
737,3493975903615;
730,8510638297872;
745,7994579945799;
999,5049504950495;
743,108504398827;
733,7142857142857;
747,2140762463343;
744,632768361582;
733,7175792507204;
742,1203438395415;
749,5548961424332;
739,4117647058823;
741,3105413105413;
732,7485380116959;
736,6568914956011;
722,4719101123595;
749,7076023391813;
746,551724137931;
741,8960244648318;
735,3658536585366;
735,3658536585366;
735,3658536585366;
735,3658536585366;
738,0681818181819;
735,3658536585366;
751,0086455331412;
751,0086455331412;
751,0086455331412;
751,0086455331412;
735,3658536585366;
735,3658536585366;
743,6619718309859;
743,6619718309859;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
735,693215339233;
751,0086455331412;
738,7387387387388;
738,7387387387388;
738,7387387387388;
738,7387387387388;
738,7387387387388;
748,3695652173913;
816,5457184325109;
816,5457184325109;
1759,93690851735;
1759,93690851735;
748,3695652173913;
748,3695652173913;
748,3695652173913;
748,3695652173913;
748,3695652173913;
1759,93690851735;
1759,93690851735;
1759,93690851735;
1759,93690851735;
1759,93690851735;
1730,7210031347963;
1744,2278860569716;
1695,5613577023498;
1692,1052631578948;
1700,0;
1700,0;
1700,0;
1700,0;
1692,1052631578948;
1692,1052631578948;
1699,7134670487105;
1692,1052631578948;
1699,7134670487105;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1699,7134670487105;
1699,7134670487105;
1699,7134670487105;
1692,1052631578948;
1700,0;
1700,0;
1699,7134670487105;
1699,7134670487105;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1692,1052631578948;
1700,0;
1692,1052631578948;
1699,7134670487105;
1692,1052631578948;
1692,1052631578948;
1700,0;
1699,7134670487105;
1699,7134670487105;
1699,7134670487105;
1673,5955056179776;
1709,89010989011;
1709,89010989011;
1709,89010989011;
1735,68;
1709,89010989011;
1709,89010989011;
1709,89010989011;
1709,89010989011;
1709,89010989011;
1709,89010989011;
1739,85401459854;
1597,7011494252874;
1613,5593220338983;
1689,1246684350133;
1681,0526315789473;
1704,3478260869565;
1672,9281767955802;
1672,9281767955802;
1672,9281767955802;
1672,9281767955802;
1672,9281767955802;
1672,9281767955802;
1699,4350282485875;
1714,2857142857142;
1700,7792207792209;
1700,7792207792209;
1681,0526315789473;
1681,0526315789473;
1681,0526315789473;
1681,0526315789473;
1681,0526315789473;
1681,0526315789473;
1681,0526315789473;
1681,0526315789473;
1689,1246684350133;
1689,1246684350133;
1681,0526315789473;
1672,9281767955802;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
4527,54491017964;
4527,54491017964;
586,8583162217659;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1680,5128205128206;
1705,7894736842106;
1680,5128205128206;
1680,5128205128206;
1680,5128205128206;
1680,5128205128206;
1680,5128205128206;
1680,5128205128206;
1680,5128205128206;
1680,5128205128206;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1680,5128205128206;
1705,7894736842106;
1713,7662337662337;
1713,7662337662337;
1705,7894736842106;
1693,5;
1705,7894736842106;
1705,7894736842106;
1686,6666666666667;
1680,5128205128206;
1693,5;
1713,7662337662337;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1705,7894736842106;
1680,5263157894738;
2015,8862296219215;
2015,8862296219215;
2025,2865812542145;
1674,4791666666667;
1684,5360824742268;
1700,7832898172323;
1692,6701570680627;
1691,6876574307305;
1689,4348894348893;
1682,7956989247311;
1739,6681749622926;
1736,4741641337387;
1730,7346326836582;
1735,4134165366615;
1759,214501510574;
