9,918767507002801;
9,963068181818182;
10,064606741573034;
9,935754189944134;
9,96111111111111;
9,891304347826088;
9,833333333333334;
9,957983193277311;
9,652173913043478;
9,858333333333333;
9,795389048991355;
9,835694050991501;
9,947222222222223;
9,702857142857143;
10,112676056338028;
9,856338028169015;
10,014285714285714;
10,014450867052023;
10,011695906432749;
9,977272727272727;
10,054054054054054;
9,808571428571428;
9,799418604651162;
9,799418604651162;
10,02102102102102;
10,017964071856287;
9,92485549132948;
9,684659090909092;
9,813218390804598;
9,641833810888253;
9,774853801169591;
9,774853801169591;
9,679886685552407;
9,641833810888253;
9,762569832402235;
9,803324099722992;
9,81981981981982;
9,779944289693594;
9,788732394366198;
9,825714285714286;
9,817142857142857;
9,796089385474861;
9,876106194690266;
9,86723163841808;
9,830985915492958;
9,78735632183908;
9,861861861861861;
9,771513353115727;
9,96755162241888;
9,869318181818182;
9,92375366568915;
9,86723163841808;
9,8061797752809;
9,804093567251462;
9,788856304985337;
9,84225352112676;
9,833333333333334;
9,796561604584527;
9,97953216374269;
9,790830945558739;
9,84393063583815;
9,860795454545455;
9,883928571428571;
10,074850299401197;
9,796089385474861;
9,951149425287356;
9,667469879518073;
9,802409638554217;
9,691489361702128;
9,902439024390244;
13,72184405940594;
9,909090909090908;
9,782857142857143;
9,973607038123166;
9,861581920903955;
9,77521613832853;
9,819484240687679;
10,014836795252226;
9,823529411764707;
9,837606837606838;
9,73391812865497;
9,788856304985337;
9,632022471910112;
9,97953216374269;
9,948275862068966;
9,874617737003058;
9,789634146341463;
9,789634146341463;
9,789634146341463;
9,789634146341463;
9,795454545454545;
9,789634146341463;
10,040345821325648;
10,040345821325648;
10,040345821325648;
10,040345821325648;
9,789634146341463;
9,789634146341463;
9,887323943661972;
9,887323943661972;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
9,814159292035399;
10,040345821325648;
9,87987987987988;
9,87987987987988;
9,87987987987988;
9,87987987987988;
9,87987987987988;
9,826086956521738;
